name,Span,Mat,Inns,NO,Runs,HS,SR,Hundreds,Fifties,Ducks,Country
C Kieswetter,2010-2013,44,39,5,1048,107,90.89,1,5,4,England
TT Bresnan,2006-2014,81,64,20,871,80,90.25,0,1,6,England
CWJ Athey,1980-1988,31,30,3,848,142*,56.72,2,4,1,England
JE Root,2013-2014,25,24,3,841,107,78.74,1,5,1,England
DL Amiss,1972-1977,16,16,0,822,137,74.25,4,1,0,England
GO Jones,2004-2006,47,40,8,813,80,78.93,0,4,1,England
G Fowler,1983-1986,26,26,2,744,81*,56.32,0,4,2,England
CJ Tavare,1980-1984,29,28,2,720,83*,48.94,0,4,1,England
KWR Fletcher,1971-1982,21,19,2,703,131,66.69,1,5,0,England
PAJ DeFreitas,1987-1997,102,66,23,690,67,83.83,0,1,4,England
MA Ealham,1996-2001,62,43,4,659,45,63.73,0,0,4,England
LJ Wright,2007-2014,47,38,4,655,50,83.75,0,1,5,England
